Starting DroneDriver
ToggleCam 0
vel_y, Err, 13.000000, P, 0.016250, I, 0.000000, D, 0.006250, PID, 0.022500
vel_x, Err, -33.000000, P, -0.033000, I, 0.000000, D, 0.008000, PID, -0.025000
vel_y, Err, 19.000000, P, 0.023750, I, 0.000000, D, 0.007500, PID, 0.031250
vel_x, Err, -25.000000, P, -0.025000, I, 0.000000, D, 0.008000, PID, -0.017000
vel_y, Err, 27.000000, P, 0.033750, I, 0.000000, D, 0.010000, PID, 0.043750
vel_x, Err, -19.000000, P, -0.019000, I, 0.000000, D, 0.006000, PID, -0.013000
vel_y, Err, 36.000000, P, 0.045000, I, 0.000000, D, 0.011250, PID, 0.056250
vel_x, Err, -16.000000, P, -0.016000, I, 0.000000, D, 0.003000, PID, -0.013000
vel_y, Err, 40.000000, P, 0.050000, I, 0.000000, D, 0.005000, PID, 0.055000
vel_x, Err, -9.000000, P, -0.009000, I, 0.000000, D, 0.007000, PID, -0.002000
vel_y, Err, 53.000000, P, 0.066250, I, 0.000000, D, 0.016250, PID, 0.082500
vel_x, Err, -6.000000, P, -0.006000, I, 0.000000, D, 0.003000, PID, -0.003000
vel_y, Err, 59.000000, P, 0.073750, I, 0.000000, D, 0.007500, PID, 0.081250
vel_x, Err, 3.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_y, Err, 76.000000, P, 0.095000, I, 0.000000, D, 0.021250, PID, 0.116250
vel_x, Err, 3.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_y, Err, 76.000000, P, 0.095000, I, 0.000000, D, 0.000000, PID, 0.095000
vel_x, Err, 3.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_y, Err, 76.000000, P, 0.095000, I, 0.000000, D, 0.000000, PID, 0.095000
vel_x, Err, 3.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_y, Err, 74.000000, P, 0.092500, I, 0.000000, D, 0.000000, PID, 0.092500
vel_x, Err, -3.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_y, Err, 70.000000, P, 0.087500, I, 0.000000, D, -0.005000, PID, 0.082500
vel_x, Err, -12.000000, P, -0.012000, I, 0.000000, D, -0.012000, PID, -0.024000
vel_y, Err, 66.000000, P, 0.082500, I, 0.000000, D, -0.005000, PID, 0.077500
vel_x, Err, -14.000000, P, -0.014000, I, 0.000000, D, -0.002000, PID, -0.016000
vel_y, Err, 64.000000, P, 0.080000, I, 0.000000, D, -0.002500, PID, 0.077500
vel_x, Err, -16.000000, P, -0.016000, I, 0.000000, D, -0.002000, PID, -0.018000
vel_y, Err, 63.000000, P, 0.078750, I, 0.000000, D, -0.001250, PID, 0.077500
vel_x, Err, -18.000000, P, -0.018000, I, 0.000000, D, -0.002000, PID, -0.020000
vel_y, Err, 62.000000, P, 0.077500, I, 0.000000, D, -0.001250, PID, 0.076250
vel_x, Err, -22.000000, P, -0.022000, I, 0.000000, D, -0.004000, PID, -0.026000
vel_y, Err, 65.000000, P, 0.081250, I, 0.000000, D, 0.003750, PID, 0.085000
vel_x, Err, -23.000000, P, -0.023000, I, 0.000000, D, -0.001000, PID, -0.024000
